Host,Price,CPU,RAM,Disk,Disk Type,Bandwidth
[Contabo](https://contabo.com/?show=vps),€7.99/mo,4,10 GB,700 GB,Hybrid,Unlimited
[Google Cloud](https://cloud.google.com/),$93/yr,2,8 GB,30 GB,SSD,Unlimited
[GalaxyGate](https://galaxygate.net/hosting/vps/),$10/mo,2,4 GB,30 GB,NVMe,Unlimited
[Time4VPS](https://www.time4vps.com/linux-vps/),€5.99/month,1,4 GB,40 GB,HDD,4 TB
[Dedipath](https://dedipath.com/ssd-vps),$9.50/mo,2,3 GB,90 GB,SSD,Unlimited
[Scaleway](https://www.scaleway.com/en),€7.20/month,2,2 GB,20 GB,NVMe,Unlimited
[DigitalOcean](https://www.digitalocean.com/pricing/),$10/mo,1,2 GB,50 GB,SSD,2 TB
[AWS](https://aws.amazon.com/savingsplans/pricing/),$120/yr,2,2 GB,10 GB,SSD,Unlimited
[Letbox](https://my.letbox.com/index.php?rp=/store/la-nvme-bbox),$10/mo,2,3 GB,40 GB,NVMe,8 TB
[Host Namaste](https://www.hostnamaste.com/openvz-vps.php),$9.99/mo,2,2 GB,50 GB,HDD,3 TB
[Los Angeles VPS](https://www.losangelesvps.com/vps-hosting/),$10/mo,2,2 GB,40 GB,SSD,Unlimited
[SkySilk](https://www.skysilk.com/cloud/),$10/mo,1,2 GB,30 GB,NVMe,Unlimited
[Vultr](https://www.vultr.com/products/cloud-compute/),$10/mo,1,2 GB,55 GB,SSD,2 TB
[FlipperHost](https://flipperhost.com/),$9.95/mo,4,2 GB,100 GB,HDD,8 TB
[ExtraVM](https://extravm.com/vps.php),$10/mo,2,2 GB,30 GB,SSD,3 TB
[RamNode](https://www.ramnode.com/),$10/mo,2,2 GB,65 GB,SSD,3 TB
[Virmach](https://virmach.com/cheap-kvm-linux-vps-windows-vps/),$10/mo,2,2 GB,40 GB,SSD,2 TB
[Linode](https://www.linode.com/),$10/mo,1,2 GB,50 GB,SSD,2 TB
[Host Pls](https://host-pls.com/),$6.99/mo,2,2 GB,25 GB,SSD,200 GB
[Host Sailor](https://hostsailor.com/vps-hosting/kvm-vps/),$6.99/mo,4,1 GB,30 GB,HDD,1 TB
[Hudson Valley Host](https://hudsonvalleyhost.com/self-managed-vps-2/),$7/mo,1,1 GB,100 GB,HDD,2 TB
