Host,Price,CPU,RAM,Disk,Disk Type,Bandwidth
[Accu Web Hosting](https://www.accuwebhosting.com/),$288/yr,3,2 GB,30 GB,SSD,450 GB
[AcroServers](https://acroservers.com/vps_cloud),€20/mo,2,4 GB,20 GB,SSD,2.5 TB
[AWS](https://aws.amazon.com/savingsplans/pricing/),$299/yr,2,4 GB,60 GB,SSD,Unlimited
[Comet](https://www.cometvps.com/),$23/mo,2,2 GB,20 GB,SSD,2 TB
[CreeperHost](https://www.creeperhost.net/services),$23.10/mo,3,3 GB,30 GB,SSD,Unlimited
[Dedipath](https://dedipath.com/ssd-vps),$24.50/mo,6,8 GB,240 GB,SSD,Unlimited
[ExtraVM](https://extravm.com/vps.php),$25/mo,4,5 GB,75 GB,SSD,6 TB
[FlipperHost](https://flipperhost.com/kvm-vps.php),$24.95/mo,4,4 GB,100 GB,HDD,15 TB
[GreenCloudVPS](https://greencloudvps.com/kvm-10gbps-vps.php),$24/mo,2,4 GB,40 GB,SSD,4 TB
[Ideastack](https://ideastack.com/),$21.07/mo,2,6 GB,120 GB,SSD,2 TB
[Oracle](https://www.oracle.com/cloud/compute/pricing.html),$21.60/mo,1,8 GB,1 TB,SSD,Unlimited
[RackNerd](https://racknerd.com/kvm-vps),$24.59/mo,4,4 GB,130 GB,Hybrid,3 TB
[SkySilk](https://www.skysilk.com/cloud),$22/mo,1,4 GB,60 GB,NVMe,Unlimited
[SoftShellWeb](https://softshellweb.com/vps-hosting-usa),$21/mo,3,6 GB,160 GB,SSD,Unlimited
[VPSDime](https://vpsdime.com/),$21/mo,4,18 GB,90 GB,SSD,6 TB
