Host,Price,CPU,RAM,Disk,Disk Type,Bandwidth
[A2 Hosting](https://www.a2hosting.com/vps-hosting/unmanaged),$84.59/mo,6,16 GB,250 GB,NVMe,3 TB
[Accu Web Hosting](https://www.accuwebhosting.com/),$1152/yr,4,8 GB,100 GB,SSD,1 TB
[AWS](https://aws.amazon.com/ec2/instance-types/t2/),$1159/yr,2,8 GB,60 GB,SSD,Unlimited
[Byet Internet Services](https://byet.host/),$66/mo,1,1.75 GB,250 GB,HDD,1 TB
[Cheap Windows VPS](http://cheapwindowsvps.com/),$62/mo,5,32 GB,480 GB,SSD,Unlimited
[Comet](https://www.cometvps.com/),$73/mo,4,8 GB,80 GB,SSD,8 TB
[Contabo](https://contabo.com/?show=vds),€68.99/mo,6,48 GB,360 GB,NVMe,Unlimited
[CreeperHost](https://www.creeperhost.net/services),$75.78/mo,8,12 GB,100 GB,SSD,Unlimited
[Dedipath](https://dedipath.com/ssd-kvm-vps),$65.50/mo,8,16 GB,100 SD,SSD,Unlimited
[DigitalOcean](https://www.digitalocean.com/pricing/),$80/mo,8,16 GB,320 GB,SSD,6 TB
[Freehostia](https://www.freehostia.com/),$86/mo,4,8 GB,160 GB,HDD,4 TB
[GalaxyGate](https://galaxygate.net/hosting/vps/),$80/mo,8,32 GB,100 GB,NVMe,Unlimited
[Google Cloud](https://cloud.google.com/),$740/yr,2,8 GB,60 GB,SSD,Unlimited
[GreenCloudVPS](https://greencloudvps.com/kvm-10gbps-vps.php),$96/mo,8,16 GB,160 GB,SSD,16 TB
[Hetzner](https://www.hetzner.com/cloud?country=us),€49.90/mo,16,32 GB,360 GB,HDD,20 TB
[Hostigger](https://www.hostigger.com/1gbps-unlimited),$100/mo,4,16 GB,100 GB,SSD,Unlimited
[HostPoco](https://www.hostpoco.com/cheap-us-vps-hosting.php),$84.99/mo,1,8 GB,180 GB,HDD,8 TB
[HostSailor](https://hostsailor.com/vps-hosting/openvz-ssd-vps/),$56.99/mo,4,8 GB,80 GB,SSD,8 TB
[Ideastack](https://ideastack.com/),$84/mo,8,32 GB,250 GB,SSD,2 TB
[KnownHost](https://www.knownhost.com/managed-vps.html),$80.50/mo,6,8 GB,200 GB,SSD,5 TB
[Linode](https://www.linode.com/pricing/),$80/mo,6,16 GB,320 GB,SSD,8 TB
[Los Angeles VPS](https://www.losangelesvps.com/vps-hosting/),$60/mo,8,12 GB,200 GB,SSD,Unlimited
[Microsoft Azure](https://azure.microsoft.com/),$58.40/mo,1,1.75 GB,225 GB,SSD,Unlimited
[Oracle Cloud](https://www.oracle.com/cloud/cost-estimator.html),$95/mo,2,30 GB,1 TB,SSD,Unlimited
[OVH](https://www.ovhcloud.com/en/public-cloud/prices/),$54/mo,2,7 GB,50 GB,SSD,Unlimited
[PakCloudHost](https://www.pakcloudhost.com/vps-hosting/),$77/mo,4,8 GB,160 GB,HDD,4 TB
[RackNerd](https://racknerd.com/kvm-vps),$55.99/mo,7,12 GB,300 GB,Hybrid,6 TB
[RamNode](https://www.ramnode.com/),$96/mo,4,16 GB,500 GB,NVMe,6 TB
[Scaleway](https://www.scaleway.com/en/pricing/),€60.48/mo,4,16 GB,160 GB,NVMe,Unlimited
[SKB](https://skb-enterprise.com/nvme-vps/),€68.99/mo,6,32 GB,800 GB,NVMe,Unlimited
[SkySilk](https://www.skysilk.com/cloud/),$75/mo,6,24 GB,400 GB,SSD,5 TB
[SoftShellWeb](https://softshellweb.com/vps-hosting-usa),$98/mo,6,32 GB,480 GB,SSD,Unlimited
[TheStack](https://thestack.net/hybrid-servers),$60/mo,8,16 GB,240 GB,HDD,10 TB
[Time4VPS](https://www.time4vps.com/linux-vps/),€65.99/mo,8,32 GB,320 GB,HDD,32 TB
[Virmach](https://virmach.com/10gbps-linux-windows-cloud-vps/),$80/mo,6,16 GB,250 GB,SSD,8 TB
[Vultr](https://www.vultr.com/products/cloud-compute/),$80/mo,6,16 GB,320 GB,SSD,5 TB
